idx	name	unmapped	call_count	categories	first_line	first_context
68	UPARM_TAG		1	var-assign	1832	fVar43 = (float)FUN_1400a5e00(local_508,0x44);
69	UPARM_Y	Y	1	other	1850	auVar47._0_8_ = FUN_1400a5d20(local_508,0x45);
70	UPARM_ANGLE		1	var-assign	1864	fVar35 = (float)FUN_1400a5d20(local_508,0x46);
71	UPARM_GOOFY	Y	1	var-assign	1892	iVar17 = FUN_1400a5e00(local_508,0x47);
72	NECK_TAG		1	var-assign	1960	fVar35 = (float)FUN_1400a5e00(local_508,0x48);
73	NECK_TYPE		4	other,var-assign	1096	iVar15 = FUN_1400a5e00(local_508,0x49);
74	NECK_LENGTH		1	var-assign	1100	fVar43 = (float)FUN_1400a5d20(local_508,0x4a);
75	NECK_GIRAFFE		1	var-assign	1104	fVar37 = (float)FUN_1400a5d20(local_508,0x4b);
76	NECK_THICKNESS		1	var-assign	1108	fVar37 = (float)FUN_1400a5d20(local_508,0x4c);
77	NECK_ANGLE		1	var-assign	1952	fVar35 = (float)FUN_1400a5d20(local_508,0x4d);
78	NECK_COCK		1	var-assign	1956	fVar37 = (float)FUN_1400a5d20(local_508,0x4e);
79	NECK_JOINT_TYPE		1	var-assign	2090	fVar39 = (float)FUN_1400a5e00(local_508,0x4f);
80	NECK_FLEXIBILITY		3	var-assign	2108	fVar38 = (float)FUN_1400a5d20(local_508,0x50);
81	NECK_FLEX_BIAS		3	var-assign	2106	fVar39 = (float)FUN_1400a5d20(local_508,0x51);
82	NECK_SLOUCH	Y	1	var-assign	1994	fVar40 = (float)FUN_1400a5d20(local_508,0x52);
83	NECK_ONTOP	Y	2	var-assign	458	fVar34 = (float)FUN_1400a5d20(local_508,0x53);
84	NECK_STIFF		1	var-assign	2094	iVar17 = FUN_1400a5e00(local_508,0x54);
85	NECK_SPEED		1	var-assign	1134	fVar35 = (float)FUN_1400a5d20(local_508,0x55);
86	HAS_FOOT		1	var-assign	992	iVar16 = FUN_1400a5e00(local_508,0x56);
87	FOOT_SIZE		3	other,var-assign	768	((fVar35 = (float)FUN_1400a5d20(local_508,0x57), fVar35 <= 0.0 &&
88	FOOT_CLOWN		1	var-assign	1008	fVar43 = (float)FUN_1400a5d20(local_508,0x58);
89	FOOT_THICKNESS		1	var-assign	1018	fVar43 = (float)FUN_1400a5d20(local_508,0x59);
90	FOOT_TOE		2	other,var-assign	770	(fVar35 = (float)FUN_1400a5d20(local_508,0x5a), fVar35 <= 0.0)))) {
91	FOOT_IS_CIRCLE	Y	2	conditional,direct-or-ptr-write	868	((*(char *)(param_1 + 0x8d) == '\0' || (iVar15 = FUN_1400a5e00(local_508,0x5b), iVar15 == 0))))
92	FOOT_BACKWARDS	Y	1	var-assign	1048	iVar16 = FUN_1400a5e00(local_508,0x5c);
93	HAS_HAND		1	var-assign	1052	iVar16 = FUN_1400a5e00(local_508,0x5d);
94	HAND_WIDTH		1	var-assign	1062	fVar37 = (float)FUN_1400a5d20(local_508,0x5e);
